Source,Destination,Weight
C5203670,C0019345,13.0
C5203670,C0017152,10.0
C5203670,C0018099,30.0
C5203670,C0751249,10.0
C5203670,C0920425,194.0
C5203670,C0597815,15.0
C5203670,C0507115,11.0
C5203670,C0228539,10.0
C5203670,C0262254,10.0
C5203670,C0442874,225.0
C5203670,C0597757,10.0
C5203670,C0229962,24.0
C5203670,C0033572,109.0
C5203670,C0452410,11.0
C5203670,C0023380,41.0
C5203670,C1970187,10.0
C5203670,C0034991,44.0
C5203670,C0149931,20.0
C5203670,C0740903,10.0
C5203670,C0019079,10.0
C5203670,C0301568,10.0
C5203670,C0039259,12.0
C5203670,C0162429,38.0
C5203670,C0017296,126.0
C5203670,C0280592,1.0
C5203670,C0023759,9.0
C5203670,C0454406,1.0
C5203670,C0162628,1.0
C5203670,C0015385,15.0
C5203670,C0857027,32.0
C5203670,C0232292,94.0
C5203670,C0741426,1.0
C5203670,C0005847,25.0
C5203670,C3809991,25.0
C5203670,C0017547,20.0
C5203670,C0199809,35.0
C5203670,C1510857,1.0
C5203670,C0185023,3.0
C5203670,C0152227,16.0
C5203670,C3257803,2.0
C5203670,C0026369,1.0
C5203670,C2825047,7.0
C5203670,C0017650,1.0
C5203670,C0025148,27.0
C5203670,C0271188,4.0
C5203670,C0796085,49.0
C5203670,C1719788,4.0
C5203670,C1261381,8.0
C5203670,C1318973,4.0
C5203670,C0205721,13.0
C5203670,C1134564,4.0
C5203670,C4018799,7.0
C5203670,C0598196,4.0
C5203670,C0037284,4.0
C5203670,C0677881,18.0
C5203670,C0038644,9.0
C5203670,C0849640,4.0
C5203670,C0012683,38.0
C5203670,C0423575,1.0
C5203670,C0748355,48.0
C5203670,C0035222,68.0
C5203670,C0452240,135.0
C5203670,C0150141,45.0
C5203670,C1579931,77.0
C5203670,C0858958,4.0
C5203670,C0795934,202.0
C5203670,C1846009,67.0
C5203670,C0153062,1.0
C5203670,C0225442,44.0
C5203670,C0175697,13.0
C5203670,C1850568,7.0
C5203670,C1512335,54.0
C5203670,C1313983,2.0
C5203670,C0009763,4.0
C5203670,C0015230,147.0
C5203670,C1261274,2.0
C5203670,C0012833,87.0
C5203670,C0042571,55.0
C5203670,C0934502,84.0
C5203670,C0001175,36.0
C5203670,C0038454,74.0
C5203670,C4723761,18.0
C5203670,C1268087,1.0
C5203670,C0439775,3.0
C5203670,C1140621,239.0
C5203670,C2825978,2.0
C5203670,C0008049,27.0
C5203670,C2364135,35.0
C5203670,C0419019,2.0
C5203670,C0015357,8.0
C5203670,C0007202,2.0
C5203670,C0002351,2.0
C5203670,C0282312,1.0
C5203670,C0032064,28.0
C5203670,C0541747,2.0
C5203670,C3665472,348.0
C5203670,C0392920,348.0
C5203670,C0013216,26.0
C5203670,C0018802,13.0
C5203670,C0018801,12.0
C5203670,C1277295,6.0
C5203670,C0700589,16.0
C5203670,C1305417,53.0
C5203670,C0362076,1.0
C5203670,C0032740,7.0
C5203670,C0151293,1.0
C5203670,C1185738,1.0
C5203670,C3810531,28.0
C5203670,C4521443,28.0
C5203670,C0740396,6.0
C5203670,C0231311,2.0
C5203670,C0235394,31.0
C5203670,C0002708,1.0
C5203670,C0150157,76.0
C5203670,C1369039,5.0
C5203670,C1369038,5.0
C5203670,C0812426,39.0
C5203670,C2926602,2.0
C5203670,C0458421,77.0
C5203670,C0597811,22.0
C5203670,C0042449,40.0
C5203670,C0443235,1.0
C5203670,C0263314,20.0
C5203670,C1998547,1.0
C5203670,C1321587,115.0
C5203670,C0225704,1.0
C5203670,C0019693,16.0
C5203670,C0019372,16.0
C5203670,C1515884,16.0
C5203670,C1320374,43.0
C5203670,C0003873,17.0
C5203670,C1290884,30.0
C5203670,C4748924,17.0
C5203670,C0204324,16.0
C5203670,C0454525,19.0
C5203670,C1245665,16.0
C5203670,C1516635,16.0
C5203670,C0474232,16.0
C5203670,C0008031,114.0
C5203670,C0006277,63.0
C5203670,C0007222,4.0
C5203670,C1335499,3.0
C5203670,C4553655,200.0
C5203670,C0695563,1.0
C5203670,C0695714,1.0
C5203670,C0677756,32.0
C5203670,C0547605,25.0
C5203670,C0010352,26.0
C5203670,C0149725,28.0
C5203670,C1283622,1.0
C5203670,C0270814,15.0
C5203670,C0683474,76.0
C5203670,C4724036,103.0
C5203670,C0751372,2.0
C5203670,C0451615,2.0
C5203670,C1261082,2.0
C5203670,C0235267,1.0
C5203670,C0005858,2.0
C5203670,C0751535,1.0
C5203670,C0035204,11.0
C5203670,C0035242,11.0
C5203670,C2242996,62.0
C5203670,C0030554,49.0
C5203670,C0751185,4.0
C5203670,C0847554,3.0
C5203670,C2945698,3.0
C5203670,C0687681,5.0
C5203670,C0231912,2.0
C5203670,C0019196,6.0
C5203670,C0230370,27.0
C5203670,C0857126,15.0
C5203670,C0185003,26.0
C5203670,C1275670,35.0
C5203670,C0009806,13.0
C5203670,C0017168,31.0
C5203670,C0279232,1.0
C5203670,C1527398,36.0
C5203670,C0013969,36.0
C5203670,C0679614,13.0
C5203670,C0599654,1.0
C5203670,C0023216,77.0
C5203670,C0036474,2.0
C5203670,C0423086,36.0
C5203670,C0010054,2.0
C5203670,C1956346,2.0
C5203670,C0010068,2.0
C5203670,C0011175,28.0
C5203670,C4744673,122.0
C5203670,C0018826,2.0
C5203670,C1186983,13.0
C5203670,C0729936,1.0
C5203670,C0026267,1.0
C5203670,C1443953,1.0
C5203670,C0003850,39.0
C5203670,C0004153,39.0
C5203670,C0005779,1.0
C5203670,C2709207,40.0
C5203670,C0278286,22.0
C5203670,C3888198,7.0
C5203670,C0524909,1.0
C5203670,C0476288,4.0
C5203670,C0019158,2.0
